exID,orderID,traderID,timeStamp,type,quantity,side,price
0,5661,1000,31500,1,39,2,998748
0,5662,1000,31500,1,33,2,998761
0,5663,1000,31500,1,9,2,998757
0,5664,1000,31500,1,39,2,998793
0,5665,1000,31500,1,31,2,998745
0,5666,1000,31500,1,7,2,998749
0,5667,1000,31500,1,31,2,998767
0,5668,1000,31500,1,40,2,998742
0,5669,1000,31500,1,14,2,998765
0,5670,1000,31500,1,5,2,998775
0,5671,1000,31500,1,34,2,998785
0,5672,1000,31500,1,24,2,998780
0,5673,1000,31500,1,20,2,998737
0,5674,1000,31500,1,12,2,998787
0,5675,1000,31500,1,31,2,998792
0,5676,1000,31500,1,25,2,998735
0,5677,1000,31500,1,29,2,998746
0,5678,1000,31500,1,23,2,998791
0,5679,1000,31500,1,21,2,998775
0,5680,1000,31500,1,40,2,998764
0,5681,1000,31500,1,26,2,998734
0,5682,1000,31500,1,44,2,998792
0,5683,1000,31500,1,35,2,998777
0,5684,1000,31500,1,13,2,998746
0,5685,1000,31500,1,10,2,998790
0,5686,1000,31500,1,7,2,998754
0,5687,1000,31500,1,16,2,998762
0,5688,1000,31500,1,50,2,998744
0,5689,1000,31500,1,43,2,998737
0,5690,1000,31500,1,46,2,998790
0,5691,1000,31500,1,39,2,998739
0,5692,1000,31500,1,31,2,998742
0,5693,1000,31500,1,44,2,998760
0,5694,1000,31500,1,24,2,998777
0,5695,1000,31500,1,43,2,998782
0,5696,1000,31500,1,43,2,998763
0,5697,1000,31500,1,21,2,998750
0,5665,1000,31500,2,31,2,998745
0,102,3033,31500,1,35,1,998731
0,630,2021,31500,1,11,2,0
0,43,3024,31500,1,35,1,998715
0,70,3015,31500,1,6,1,998638
0,322,3004,31500,1,29,1,998642
0,5669,1000,31501,2,14,2,998765
0,5670,1000,31504,2,5,2,998775
0,5661,1000,31505,2,39,2,998748
0,5697,1000,31507,2,21,2,998750
0,5680,1000,31508,2,40,2,998764
0,5677,1000,31511,2,29,2,998746
0,5668,1000,31512,2,40,2,998742
0,5676,1000,31514,2,25,2,998735
0,5674,1000,31517,2,12,2,998787
0,5696,1000,31517,2,43,2,998763
0,5686,1000,31519,2,7,2,998754
0,5689,1000,31522,2,43,2,998737
0,5684,1000,31524,2,13,2,998746
0,5667,1000,31525,2,31,2,998767
0,5663,1000,31527,2,9,2,998757
0,5695,1000,31528,2,43,2,998782
0,5681,1000,31534,2,26,2,998734
0,5672,1000,31535,2,24,2,998780
0,5690,1000,31536,2,46,2,998790
0,5688,1000,31536,2,50,2,998744
0,5664,1000,31538,2,39,2,998793
0,5687,1000,31539,2,16,2,998762
0,5662,1000,31540,2,33,2,998761
0,5683,1000,31549,2,35,2,998777
0,631,2021,31550,1,26,2,0
0,638,3005,31550,1,38,2,998734
0,639,3001,31550,1,32,2,998781
0,642,3000,31550,1,20,2,998739
0,5682,1000,31560,2,44,2,998792
0,5685,1000,31569,2,10,2,998790
0,5693,1000,31569,2,44,2,998760
0,5673,1000,31571,2,20,2,998737
0,5671,1000,31573,2,34,2,998785
0,5691,1000,31573,2,39,2,998739
0,5679,1000,31575,2,21,2,998775
0,5666,1000,31596,2,7,2,998749
0,329,3014,31600,1,28,1,998723
0,639,3005,31600,1,37,2,999169
0,643,3000,31600,1,46,2,998809
0,158,2034,31600,1,30,2,0
0,158,2019,31600,1,28,1,200000
0,166,3008,31600,1,31,2,998741
0,165,3021,31600,1,17,1,998599
0,632,2021,31600,1,41,1,200000
0,158,2036,31600,1,20,2,0
0,640,3001,31600,1,47,1,998540
0,94,3002,31600,1,26,1,998683
0,79,2045,31600,1,29,2,0
0,323,3004,31600,1,22,2,998778
0,5694,1000,31615,2,24,2,998777
0,5678,1000,31616,2,23,2,998791
0,5692,1000,31631,2,31,2,998742
0,641,3001,31650,1,42,2,998786
0,211,2014,31650,1,4,2,0
0,640,3005,31650,1,25,1,998730
0,633,2021,31650,1,33,1,200000
0,644,3000,31650,1,34,1,998709
0,5675,1000,31692,2,31,2,998792
0,324,3004,31700,1,30,2,998735
0,641,3005,31700,1,38,1,998719
0,330,3014,31700,1,38,1,998696
0,645,3000,31700,1,14,2,998760
0,642,3001,31700,1,13,1,998638
0,634,2021,31700,1,18,1,200000
0,5698,1000,31750,1,11,1,998729
0,5699,1000,31750,1,37,1,998706
0,5700,1000,31750,1,26,1,998712
0,5701,1000,31750,1,2,1,998680
0,5702,1000,31750,1,34,1,998728
0,5703,1000,31750,1,24,1,998688
0,5704,1000,31750,1,21,1,998687
0,5705,1000,31750,1,17,1,998733
0,5706,1000,31750,1,6,1,998698
0,5707,1000,31750,1,9,1,998679
0,5708,1000,31750,1,44,1,998689
0,5709,1000,31750,1,4,1,998701
0,5710,1000,31750,1,15,1,998725
0,5711,1000,31750,1,22,1,998676
0,5712,1000,31750,1,6,1,998686
0,5713,1000,31750,1,38,1,998683
0,5714,1000,31750,1,45,1,998711
0,5715,1000,31750,1,11,1,998720
0,5716,1000,31750,1,12,1,998677
0,5717,1000,31750,1,29,1,998702
0,5718,1000,31750,1,6,1,998700
0,5719,1000,31750,1,19,1,998703
0,5720,1000,31750,1,44,1,998683
0,5721,1000,31750,1,35,1,998689
0,5722,1000,31750,1,35,1,998677
0,5723,1000,31750,1,2,1,998679
0,5724,1000,31750,1,25,1,998731
0,5725,1000,31750,1,33,1,998727
0,5726,1000,31750,1,41,1,998682
0,5727,1000,31750,1,12,1,998702
0,5728,1000,31750,1,35,1,998729
0,5729,1000,31750,1,34,1,998711
0,5730,1000,31750,1,26,1,998704
0,5731,1000,31750,1,25,1,998689
0,5732,1000,31750,1,9,1,998701
0,5733,1000,31750,1,17,1,998733
0,5734,1000,31750,1,15,1,998708
0,5735,1000,31750,1,22,1,998704
0,5736,1000,31750,1,50,1,998704
0,5737,1000,31750,1,5,1,998685
0,5738,1000,31750,1,33,1,998691
0,5739,1000,31750,1,45,1,998700
0,5740,1000,31750,1,48,1,998731
0,5741,1000,31750,1,32,1,998716
0,5742,1000,31750,1,17,1,998732
0,5743,1000,31750,1,16,1,998722
0,5744,1000,31750,1,45,1,998733
0,5745,1000,31750,1,34,1,998717
0,5746,1000,31750,1,16,1,998720
0,5747,1000,31750,1,44,1,998708
0,5748,1000,31750,1,15,1,998674
0,5749,1000,31750,1,17,1,998716
0,5750,1000,31750,1,2,1,998718
0,5751,1000,31750,1,40,1,998717
0,5752,1000,31750,1,35,1,998712
0,5753,1000,31750,1,33,1,998709
0,5754,1000,31750,1,14,1,998721
0,5755,1000,31750,1,45,1,998713
0,5756,1000,31750,1,25,1,998705
0,5757,1000,31750,1,6,1,998677
0,5734,1000,31750,2,15,1,998708
0,5742,1000,31750,2,17,1,998732
0,5717,1000,31750,2,29,1,998702
0,5739,1000,31750,2,45,1,998700
0,5751,1000,31750,2,40,1,998717
0,646,3000,31750,1,24,2,998741
0,642,3005,31750,1,27,1,998664
0,643,3001,31750,1,43,1,998654
0,635,2021,31750,1,28,1,200000
0,5727,1000,31751,2,12,1,998702
0,5737,1000,31751,2,5,1,998685
0,5741,1000,31752,2,32,1,998716
0,5752,1000,31753,2,35,1,998712
0,5726,1000,31754,2,41,1,998682
0,5753,1000,31754,2,33,1,998709
0,5703,1000,31755,2,24,1,998688
0,5714,1000,31757,2,45,1,998711
0,5740,1000,31759,2,48,1,998731
0,5748,1000,31760,2,15,1,998674
0,5704,1000,31761,2,21,1,998687
0,5701,1000,31762,2,2,1,998680
0,5750,1000,31762,2,2,1,998718
0,5699,1000,31763,2,37,1,998706
0,5713,1000,31764,2,38,1,998683
0,5715,1000,31764,2,11,1,998720
0,5730,1000,31765,2,26,1,998704
0,5745,1000,31767,2,34,1,998717
0,5700,1000,31767,2,26,1,998712
0,5709,1000,31767,2,4,1,998701
0,5729,1000,31768,2,34,1,998711
0,5744,1000,31771,2,45,1,998733
0,5732,1000,31773,2,9,1,998701
0,5719,1000,31774,2,19,1,998703
0,5716,1000,31775,2,12,1,998677
0,5755,1000,31775,2,45,1,998713
0,5710,1000,31776,2,15,1,998725
0,5712,1000,31779,2,6,1,998686
0,5718,1000,31782,2,6,1,998700
0,5749,1000,31782,2,17,1,998716
0,5738,1000,31783,2,33,1,998691
0,5708,1000,31785,2,44,1,998689
0,5706,1000,31787,2,6,1,998698
0,5746,1000,31787,2,16,1,998720
0,5722,1000,31789,2,35,1,998677
0,5754,1000,31789,2,14,1,998721
0,5721,1000,31790,2,35,1,998689
0,5728,1000,31790,2,35,1,998729
0,5724,1000,31790,2,25,1,998731
0,5731,1000,31791,2,25,1,998689
0,5723,1000,31793,2,2,1,998679
0,5756,1000,31794,2,25,1,998705
0,212,2014,31800,1,35,1,200000
0,65,3007,31800,1,21,1,998637
0,647,3000,31800,1,1,2,998756
0,159,2036,31800,1,18,1,200000
0,166,3021,31800,1,21,2,998766
0,643,3005,31800,1,1,2,998739
0,159,2034,31800,1,29,2,0
0,110,3013,31800,1,9,2,998738
0,636,2021,31800,1,26,1,200000
0,325,3004,31800,1,8,2,998777
0,644,3001,31800,1,26,1,998731
0,331,3014,31800,1,49,1,998655
0,167,3008,31800,1,17,1,998645
0,5757,1000,31800,2,6,1,998677
0,159,2019,31800,1,18,2,0
0,5725,1000,31801,2,33,1,998727
0,5735,1000,31802,2,22,1,998704
0,5705,1000,31808,2,17,1,998733
0,5707,1000,31816,2,9,1,998679
0,5698,1000,31817,2,11,1,998729
0,5743,1000,31824,2,16,1,998722
0,5720,1000,31825,2,44,1,998683
0,5736,1000,31831,2,50,1,998704
0,5702,1000,31837,2,34,1,998728
0,5733,1000,31841,2,17,1,998733
0,103,3033,31850,1,40,1,998712
0,60,3026,31850,1,27,1,998626
0,648,3000,31850,1,17,1,998697
0,644,3005,31850,1,8,2,998734
0,637,2021,31850,1,23,2,0
0,645,3001,31850,1,43,2,998748
0,5747,1000,31858,2,44,1,998708
0,5711,1000,31880,2,22,1,998676
0,645,3005,31900,1,21,2,998764
0,29,2008,31900,1,50,2,0
0,638,2021,31900,1,4,1,200000
0,646,3001,31900,1,47,2,998806
0,29,2048,31900,1,21,1,200000
0,31,3032,31900,1,29,2,998735
0,33,3012,31900,1,39,2,998734
