timeStamp,bestBid,bestAsk,bidSize,askSize
40504,998725,998727,192,232
40505,998725,998727,192,232
40506,998725,998727,192,232
40510,998725,998727,192,232
40511,998725,998727,192,232
40513,998725,998727,192,232
40514,998725,998727,192,232
40515,998725,998727,192,232
40518,998725,998727,192,232
40523,998725,998727,192,232
40524,998725,998727,192,232
40525,998725,998727,192,232
40526,998725,998727,192,232
40527,998725,998727,192,232
40529,998725,998727,192,232
40531,998725,998727,192,232
40534,998725,998727,192,232
40539,998725,998727,192,232
40540,998725,998727,192,232
40541,998725,998727,192,232
40544,998725,998727,192,232
40548,998725,998727,192,232
40550,998725,998727,192,232
40550,998725,998727,192,232
40550,998725,998727,192,232
40551,998725,998727,192,232
40553,998725,998727,192,232
40554,998725,998727,192,232
40555,998725,998727,192,232
40560,998725,998727,192,232
40564,998725,998727,192,232
40565,998725,998727,192,232
40568,998725,998727,192,232
40577,998725,998727,192,232
40581,998725,998727,192,232
40585,998725,998727,192,232
40586,998725,998727,192,232
40590,998725,998727,192,232
40600,998725,998727,192,232
40600,998725,998727,192,232
40600,998725,998727,192,232
40600,998725,998727,192,232
40600,998725,998727,165,232
40600,998725,998727,165,232
40600,998725,998727,165,232
40600,998725,998727,151,232
40600,998725,998727,151,232
40600,998725,998726,151,37
40600,998725,998726,151,37
40600,998725,998726,112,37
40600,998725,998726,64,37
40600,998725,998726,58,37
40600,998725,998726,57,37
40600,998725,998726,57,37
40600,998725,998726,57,37
40605,998725,998726,57,37
40620,998725,998726,57,37
40642,998725,998726,57,37
40643,998725,998726,57,37
40650,998725,998726,57,37
40650,998725,998726,57,37
40650,998725,998726,54,37
40650,998725,998726,54,37
40657,998725,998726,54,37
40677,998725,998726,54,37
40700,998725,998726,54,37
40700,998725,998726,18,37
40700,998725,998726,18,37
40700,998725,998726,18,37
40700,998725,998726,18,37
40700,998725,998726,18,37
40700,998725,998726,18,37
40700,998725,998726,18,37
40750,998725,998726,18,37
40750,998724,998726,826,37
